query,clicks,impressions,avg_pos,ctr_pct
translation services dublin,0,189,31.9,0.0
tatkowski,7,157,3.5,4.46
ukrainian translator,0,62,10.5,0.0
medical translation,0,59,33.4,0.0
certified translation polish to english,0,53,66.0,0.0
translation services,0,41,44.9,0.0
certified translation services dublin,0,34,22.6,0.0
polish interpreter,0,33,34.1,0.0
legal translation,0,30,43.9,0.0
spanish translation services,0,29,79.5,0.0
spanish translation service,0,25,73.0,0.0
translation service dublin,0,25,27.1,0.0
certified translation from ukrainian to english,0,24,62.5,0.0
certified polish translation,0,22,41.1,0.0
polish translator cork,0,22,39.5,0.0
interpreter,0,20,15.9,0.0
translation recruitment company,0,20,9.5,0.0
english translations,0,19,40.1,0.0
irish translation services,0,19,47.9,0.0
medical translator,0,19,9.2,0.0
polish translation service,0,18,19.9,0.0
ukrainian certified translation,0,18,50.4,0.0
certified translation service dublin,0,17,24.5,0.0
interpreter services for parent teacher conferences,0,17,20.1,0.0
ireland translation,0,16,51.6,0.0
german translation services,0,16,67.4,0.0
polish interpreter cork,0,15,46.0,0.0
medical translation services,0,14,29.5,0.0
dublin translation,0,14,43.1,0.0
translation dublin,2,13,29.4,15.38
