404.astro	Page not found | Tatkowski	The page youâ€™re looking for doesnâ€™t exist. Find certified translation, interpreting, and recruitment services in Dublin.
about.astro	About Us | Tatkowski Interpreting & Recruitment Dublin	Meet the team behind Dublin
admin.astro	???	???
apostille-service.astro	Apostille Quote	Professional apostille & document authentication in Dublin. Certified translations + apostille for Irish courts, UKVI & international use. Same-day service.
arabic-translation.astro	Arabic to English &amp; English to Arabic from <strong>â‚¬39.99/page</strong> â€” ISD, international protection &amp; courts accepted	Certified Arabic translation for ISD, international protection, Irish courts and universities. Arabic to English and English to Arabic. â‚¬39.99/page, 24h.
birth-certificate-translation-ireland.astro	Birth Certificate Translation Ireland | ISD Accepted | â‚¬39.99, 24h	Certified birth certificate translation accepted by ISD (Immigration Service Delivery), Passport Office, HSE and Irish courts. â‚¬39.99/page, 24h delivery. Native translators, signed Statement of Accuracy.
business-interpreting.astro	Business Interpreting Dublin | Meetings & Conferences	Professional business interpreting for meetings, negotiations, site visits, investor presentations & multilingual conferences. All languages.
certified-translation.astro	Certified Translation Quote	Professional certified translation with Statement of Accuracy, accepted by ISD (formerly INIS), Passport Office, HSE and Irish courts. â‚¬39.99/page, 24h digital delivery. 20 reviews, 5.0 â˜… Google.
chinese-translation.astro	Chinese to English &amp; English to Chinese from <strong>â‚¬39.99/page</strong> â€” ISD, student visa &amp; universities accepted	Certified Chinese translation for ISD, student visas, IRP and universities. Simplified and Traditional Chinese. â‚¬39.99/page, 24h, native translators.
construction-recruitment.astro	Construction Recruitment Dublin | Polish & EU Workers	Polish & EU construction workers Dublin. Electricians, plumbers, carpenters, labourers. Work permits handled. Immediate start available.
contact.astro	Contact Tatkowski Interpreting & Recruitment	Contact Tatkowski in Dublin for certified translation, interpreting, and recruitment. Email contact@tatkowski.com or WhatsApp +353 83 871 0861.
court-interpreting.astro	Court Interpreting Services Ireland & UK | Tatkowski	Professional court interpreting across Ireland. Certified legal interpreters for hearings, trials, garda interviews, and immigration proceedings. Book today.
criminal-record-translation-ireland.astro	Criminal Record Translation Ireland | ISD & Courts Accepted | â‚¬39.99, 24h	Certified translation of criminal records and police certificates accepted by ISD, Irish courts, and the Department of Justice. â‚¬39.99/page, 24h delivery, signed Statement of Accuracy.
death-certificate-translation-ireland.astro	Death Certificate Translation Ireland | ISD & Probate Accepted | â‚¬39.99, 24h	Certified translation of death certificates for ISD, Irish Probate Office, HSE and inheritance proceedings. â‚¬39.99/page, 24h delivery, signed Statement of Accuracy.
diploma-and-transcript-translation-ireland.astro	Diploma & Transcript Translation Ireland | ISD & Universities Accepted | â‚¬39.99, 24h	Certified translation of degrees, diplomas, transcripts and academic qualifications for ISD recognition, QQI evaluation, Irish universities, and professional bodies. â‚¬39.99/page, 24h delivery.
divorce-decree-translation-ireland.astro	Divorce Decree Translation Ireland | ISD & Courts Accepted | â‚¬39.99, 24h	Certified translation of divorce decrees and dissolution of marriage orders accepted by ISD, Irish courts, Passport Office and civil registration services. â‚¬39.99/page, 24h delivery.
document-translation.astro	Document Translation Services Dublin | From â‚¬0.12/word	Professional document translation Dublin from â‚¬0.12/word. All languages, same-day certified available. Legal, medical, business docs. Quote in 10 mins.
driving-licence-translation-ireland.astro	Driving Licence Translation Ireland | ISD & RSA Accepted | â‚¬39.99, 24h	Certified translation of foreign driving licences accepted by the Road Safety Authority (RSA) for exchange, ISD and the National Driver Licence Service (NDLS). â‚¬39.99/page, 24h delivery.
