dim1,dim2,dim3,clicks,impressions,ctr,position
2025-08-13,polish subtitling services,gbr,0,1,0,80
2025-08-14,document translation dublin,irl,0,1,0,53
2025-08-14,polish subtitling services,gbr,0,1,0,83
2025-08-15,polish subtitling services,gbr,0,1,0,89
2025-08-15,tatkowski,usa,0,1,0,2
2025-08-17,tatkowski,zaf,0,1,0,1
2025-08-17,translate documents dublin,usa,0,1,0,50
2025-08-17,сертифікований переклад,ukr,0,1,0,104
2025-08-18,tatkowski,usa,0,1,0,10
2025-08-19,document translation dublin,usa,0,1,0,45
2025-08-19,tatkowski,usa,0,1,0,4
2025-08-20,document translations,irl,0,1,0,64
2025-08-20,translate document to english,irl,0,1,0,95
2025-08-21,document translation,irl,0,1,0,76
2025-08-21,fast translation services,gbr,0,1,0,1
2025-08-21,polish translations,irl,0,1,0,73
2025-08-21,translate documents,irl,0,2,0,54.5
2025-08-21,translation recruitment company,gbr,0,1,0,4
2025-08-21,translation recruitment company,irl,0,1,0,1
2025-08-22,district 44,irl,0,1,0,8
2025-08-22,professional translation services,ind,0,1,0,31
2025-08-22,recruiting,irl,0,1,0,3
2025-08-22,translation recruitment company,gbr,0,1,0,3
2025-08-22,translation recruitment company,irl,0,1,0,1
2025-08-22,translation service,irl,0,1,0,10
2025-08-22,translation services,ind,0,1,0,30
2025-08-22,translations,irl,0,1,0,15
2025-08-22,translit company,irl,0,1,0,3
2025-08-23,translation recruitment company,gbr,0,1,0,3
2025-08-23,translation recruitment company,irl,0,1,0,1
2025-08-23,translations,irl,0,3,0,10.333333333333334
2025-08-24,tatkowski,deu,0,1,0,4
2025-08-24,translation recruitment company,gbr,0,2,0,3.5
2025-08-24,translation recruitment company,irl,0,2,0,1
2025-08-24,translations,irl,0,2,0,12
2025-08-24,tłumaczenia techniczne niemiecki,aus,0,1,0,71
2025-08-25,document translation,irl,0,1,0,79
2025-08-25,interprating,irl,0,1,0,7
2025-08-25,tatkowski,gbr,0,1,0,1
2025-08-25,translate documents dublin,usa,0,1,0,40
2025-08-25,translation service,irl,0,1,0,13
2025-08-26,interpreting,irl,0,3,0,5
2025-08-26,translate documents dublin,rus,0,1,0,38
2025-08-26,translation recruitment company,irl,0,2,0,1
2025-08-27,tatkowski,cze,0,1,0,2
2025-08-27,translation services,irl,0,1,0,14
2025-08-27,translation services near me,irl,0,1,0,1
2025-08-28,document translation,irl,0,1,0,73
2025-08-28,documents translation,irl,0,1,0,73
2025-08-28,interpating,irl,0,1,0,7
2025-08-28,polish translations,irl,0,1,0,78
2025-08-28,tatkowski,pol,0,1,0,3
2025-08-28,translation recruitment company,irl,0,1,0,1
2025-08-29,interpreting,irl,0,2,0,10
2025-08-29,translate documents,irl,0,1,0,58
2025-08-30,interpreter services,irl,0,1,0,1
2025-08-30,interpreting,irl,0,1,0,8
2025-08-30,translation recruitment company,irl,0,3,0,1.6666666666666665
2025-08-31,translate documents dublin,irl,0,1,0,43
2025-09-24,tatkowski,gbr,2,2,1,1
2025-09-12,translation service near me,irl,1,2,0.5,3
2025-09-16,tatkowski,prt,1,1,1,4
2025-09-23,tatkowski,gbr,1,2,0.5,1
2025-09-26,tatkowski,irl,1,1,1,2
2025-09-29,tatkowski,irl,1,1,1,2
2025-09-01,document translation,irl,0,1,0,83
2025-09-01,translate documents dublin,usa,0,1,0,39
2025-09-01,translation document,irl,0,1,0,100
2025-09-01,translation recruitment company,irl,0,1,0,1
2025-09-02,interpreting,irl,0,1,0,12
2025-09-02,translate documents in english,irl,0,1,0,97
2025-09-02,translation recruitment company,irl,0,1,0,1
2025-09-02,translation services,irl,0,1,0,31
2025-09-03,interpreting,irl,0,1,0,15
2025-09-03,tatkowski,aus,0,1,0,4
2025-09-03,translation services,irl,0,2,0,7
2025-09-04,translation recruitment company,irl,0,1,0,1
2025-09-04,translation service near me,irl,0,1,0,5
2025-09-05,interpreting,irl,0,1,0,6
2025-09-05,tatkowski,grc,0,1,0,1
2025-09-05,translation recruitment company,irl,0,1,0,1
2025-09-06,interpreting,irl,0,2,0,7
2025-09-06,translation recruitment company,irl,0,3,0,1
2025-09-07,tatkowski,grc,0,1,0,1
2025-09-07,translations,irl,0,1,0,9
2025-09-08,document translation,irl,0,1,0,84
2025-09-08,translation recruitment company,irl,0,1,0,1
2025-09-09,translation recruitment company,irl,0,1,0,1
2025-09-10,translation recruitment,irl,0,1,0,12
2025-09-10,translation recruitment company,irl,0,1,0,1
2025-09-12,translation recruitment,col,0,1,0,52
2025-09-12,translation recruitment company,irl,0,2,0,1
2025-09-12,translations,irl,0,1,0,11
2025-09-13,tatkowski,grc,0,1,0,4
2025-09-14,translation recruitment company,irl,0,2,0,1
2025-09-14,translation service,gbr,0,1,0,1
2025-09-14,translation service,irl,0,1,0,13
2025-09-14,translation services,irl,0,1,0,8
2025-09-15,interpreting,irl,0,1,0,6
2025-09-16,interpreting vs interpretating,irl,0,1,0,14
2025-09-16,translation recruitment company,irl,0,2,0,2
2025-09-16,translation services,irl,0,1,0,13
2025-09-17,translation service near me,irl,0,2,0,2
2025-09-18,tatkowski,irl,0,1,0,1
2025-09-18,translation recruitment,gbr,0,1,0,12
2025-09-19,free translation services near me,gbr,0,1,0,1
2025-09-19,translation recruitment company,irl,0,1,0,3
2025-09-20,certified translation near me,gbr,0,1,0,1
2025-09-20,certified translation near me,irl,0,1,0,1
2025-09-20,translation recruitment company,irl,0,1,0,7
2025-09-20,translation services,irl,0,2,0,3
2025-09-21,24 hour translation services,irl,0,1,0,1
2025-09-21,free interpreting agency near me,gbr,0,1,0,12
2025-09-21,free translation services near me,gbr,0,1,0,1
2025-09-21,interpreting,irl,0,1,0,5
2025-09-21,tatkowski,idn,0,1,0,3
2025-09-21,translation services,gbr,0,1,0,1
2025-09-22,24/7 translation services,irl,0,1,0,2
2025-09-22,translation company near me,irl,0,1,0,2
2025-09-22,translation service near me,irl,0,1,0,2
2025-09-22,translations,irl,0,1,0,11
2025-09-23,tatkowski,deu,0,1,0,6
2025-09-23,tatkowski,irl,0,1,0,2
2025-09-24,packaging and labels translation services,phl,0,1,0,12
2025-09-24,tatkowski,deu,0,2,0,7
2025-09-24,telephone interpreting service,irl,0,1,0,1
2025-09-24,urgent translation services,ita,0,1,0,11
2025-09-25,apostille,usa,0,1,0,47
2025-09-25,translation service,irl,0,1,0,10
2025-09-25,translation service provider,irl,0,1,0,1
2025-09-25,translation services,irl,0,1,0,5
2025-09-26,24 hour translation services,irl,0,1,0,1
2025-09-26,interepting,irl,0,1,0,6
2025-09-26,polish legal translation,usa,0,2,0,79.5
2025-09-26,polish translator,usa,0,1,0,92
2025-09-26,polish translator cork,irl,0,1,0,51
2025-09-26,tatkowski,pol,0,1,0,3
2025-09-26,tatkowski,prt,0,1,0,1
2025-09-27,certified translation polish to english,usa,0,1,0,97
2025-09-27,certified translation services,irl,0,1,0,6
2025-09-27,certified translation services dublin,gbr,0,1,0,45
2025-09-27,certified translation services dublin,usa,0,1,0,48
2025-09-27,document translation,irl,0,1,0,10
2025-09-27,documents translation services,irl,0,1,0,1
2025-09-27,interpreting,irl,0,2,0,5.5
2025-09-27,legal translation,irl,0,1,0,14
2025-09-27,polish document translation,usa,0,1,0,94
2025-09-27,polish legal translation,usa,0,1,0,81
2025-09-27,polish legal translation services,usa,0,1,0,57
2025-09-27,polish translation services chester county,usa,0,1,0,52
2025-09-27,polish translator cork,irl,0,1,0,46
2025-09-27,translation,gbr,0,1,0,3
2025-09-27,translation and interpreting courses,irl,0,1,0,13
2025-09-27,translation recruitment company,irl,0,2,0,4
2025-09-27,translator near me,irl,0,2,0,2
2025-09-28,approved translation services,irl,0,1,0,2
2025-09-28,certified translation polish to english,usa,0,2,0,85.5
2025-09-28,certified translation services near me,gbr,0,1,0,1
2025-09-28,interpreting,irl,0,1,0,13
2025-09-28,medical translation services,irl,0,3,0,74.33333333333333
2025-09-28,medical translator,irl,0,1,0,12
2025-09-28,official translation of documents ireland,usa,0,1,0,52
2025-09-28,polish birth certificate translation services,usa,0,1,0,65
2025-09-28,polish legal translation,usa,0,1,0,75
2025-09-28,polish translation services,usa,0,1,0,86
2025-09-28,translate medical records,irl,0,1,0,12
2025-09-28,ukrainian translation services,tha,0,1,0,79
2025-09-29,polish to english certified translation,irl,0,1,0,79
2025-09-29,polish translations,usa,0,1,0,98
2025-09-29,tatkowski,deu,0,1,0,4
2025-09-29,tatkowski,gbr,0,2,0,1.5
2025-09-29,tatkowski,prt,0,1,0,1
2025-09-29,translation service,irl,0,1,0,7
2025-09-30,certified translation,irl,0,1,0,13
2025-09-30,certified translation polish to english,usa,0,3,0,87
2025-09-30,document translation,irl,0,1,0,8
2025-09-30,documents translation services,irl,0,1,0,8
2025-09-30,free notarized translation service near me,gbr,0,1,0,11
2025-09-30,polish translation services chester county,usa,0,2,0,26
2025-09-30,polish translation services newark,usa,0,1,0,46
2025-09-30,ukrainian translation,fra,0,1,0,7
2025-10-01,polish legal translation,usa,0,1,0,83
2025-10-01,polish translation services atlantic city,usa,0,2,0,46.5
2025-10-01,polish translation services conshohocken,usa,0,1,0,42
2025-10-01,polish translation services cumberland county,usa,0,1,0,68
2025-10-01,polish translation services freehold,usa,0,1,0,63
2025-10-01,polish translation services glassboro,usa,0,1,0,76
2025-10-01,polish translation services toms river,usa,0,1,0,98
2025-10-01,polish translation services west chester,usa,0,1,0,40
2025-10-01,tatkowski,irl,0,1,0,1
2025-10-01,translation services,irl,0,1,0,3
2025-10-02,documents translation services,irl,0,1,0,8
2025-10-03,ukrainian translation services,ind,0,1,0,76
2025-10-04,certified translation services dublin,usa,0,1,0,48
2025-10-04,medical translator,irl,0,1,0,12
2025-10-04,polish translator cork,irl,0,1,0,39
2025-10-04,translation and interpreting courses,irl,0,1,0,13
2025-10-04,translation recruitment company,irl,0,1,0,3
2025-10-04,translations,irl,0,1,0,12
2025-10-05,certified translation services dublin,usa,0,1,0,47
2025-10-05,interpreting services,gbr,0,1,0,3
2025-10-05,notarised translation,gbr,0,1,0,12
2025-10-05,official translation of documents ireland,usa,0,2,0,73
2025-10-05,translation services dublin,gbr,0,1,0,71
2025-10-05,translations,irl,0,1,0,11
2025-10-06,certified translation services dublin,usa,0,1,0,48
2025-10-06,legal translation,irl,0,2,0,77
2025-10-06,medical translation,irl,0,5,0,48.8
2025-10-06,medical translator,irl,0,1,0,14
2025-10-06,phone translation services,irl,0,1,0,14
2025-10-06,translation services dublin,gbr,0,1,0,72
2025-10-07,certified translation services,irl,0,1,0,3
2025-10-07,certified translation services dublin,usa,0,1,0,50
2025-10-07,document translation services near me,irl,0,2,0,4
2025-10-07,translation recruitment company,irl,0,1,0,4
2025-10-07,translation services dublin,gbr,0,1,0,71
2025-10-08,documents translation services,irl,0,2,0,8.5
2025-10-08,tatkowski,pol,0,1,0,9
2025-10-08,translate document to english,irl,0,1,0,92
2025-10-08,translation offices near me,irl,0,1,0,5
2025-10-08,translation services dublin,gbr,0,1,0,71
2025-10-08,ukrainian translation services,usa,0,2,0,86
2025-10-09,document translation services,irl,0,1,0,2
