dim1,dim2,dim3,clicks,impressions,ctr,position
2025-08-13,polish subtitling services,https://tatkowski.com/en,0,1,0,80
2025-08-14,document translation dublin,https://tatkowski.com/en/translate-documents-dublin,0,1,0,53
2025-08-14,polish subtitling services,https://tatkowski.com/en,0,1,0,83
2025-08-15,polish subtitling services,https://tatkowski.com/en,0,1,0,89
2025-08-15,tatkowski,https://tatkowski.com/,0,1,0,2
2025-08-15,tatkowski,https://tatkowski.com/en,0,1,0,4
2025-08-17,tatkowski,https://tatkowski.com/,0,1,0,1
2025-08-17,tatkowski,https://tatkowski.com/en/,0,1,0,2
2025-08-17,translate documents dublin,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,50
2025-08-17,сертифікований переклад,https://tatkowski.com/uk/translate-documents-dublin/,0,1,0,104
2025-08-18,tatkowski,https://tatkowski.com/,0,1,0,10
2025-08-19,document translation dublin,https://tatkowski.com/en/translate-documents-dublin,0,1,0,45
2025-08-19,document translation dublin,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,53
2025-08-19,tatkowski,https://tatkowski.com/,0,1,0,4
2025-08-20,document translations,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,64
2025-08-20,translate document to english,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,95
2025-08-21,document translation,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,76
2025-08-21,fast translation services,https://tatkowski.com/,0,1,0,1
2025-08-21,polish translations,https://tatkowski.com/en/polish-translator-dublin/,0,1,0,73
2025-08-21,translate documents,https://tatkowski.com/en/translate-documents-dublin,0,2,0,54.5
2025-08-21,translation recruitment company,https://tatkowski.com/,0,2,0,2.5
2025-08-22,district 44,https://tatkowski.com/,0,1,0,8
2025-08-22,professional translation services,https://tatkowski.com/,0,1,0,31
2025-08-22,recruiting,https://tatkowski.com/,0,1,0,3
2025-08-22,translation recruitment company,https://tatkowski.com/,0,2,0,2
2025-08-22,translation service,https://tatkowski.com/,0,1,0,10
2025-08-22,translation services,https://tatkowski.com/,0,1,0,30
2025-08-22,translations,https://tatkowski.com/,0,1,0,15
2025-08-22,translit company,https://tatkowski.com/,0,1,0,3
2025-08-23,translation recruitment company,https://tatkowski.com/,0,2,0,2
2025-08-23,translations,https://tatkowski.com/,0,3,0,10.333333333333334
2025-08-24,tatkowski,http://tatkowski.com/,0,1,0,4
2025-08-24,tatkowski,https://tatkowski.com/en/,0,1,0,10
2025-08-24,translation recruitment company,https://tatkowski.com/,0,4,0,2.25
2025-08-24,translations,https://tatkowski.com/,0,2,0,12
2025-08-24,tłumaczenia techniczne niemiecki,http://tatkowski.com/,0,1,0,71
2025-08-25,document translation,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,79
2025-08-25,interprating,https://tatkowski.com/,0,1,0,7
2025-08-25,tatkowski,https://tatkowski.com/,0,1,0,1
2025-08-25,tatkowski,https://tatkowski.com/en/,0,1,0,3
2025-08-25,translate documents dublin,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,40
2025-08-25,translation service,https://tatkowski.com/,0,1,0,13
2025-08-26,interpreting,https://tatkowski.com/,0,3,0,5
2025-08-26,translate documents dublin,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,38
2025-08-26,translation recruitment company,https://tatkowski.com/,0,2,0,1
2025-08-27,tatkowski,http://tatkowski.com/,0,1,0,2
2025-08-27,tatkowski,https://tatkowski.com/en/,0,1,0,5
2025-08-27,translation services,https://tatkowski.com/,0,1,0,14
2025-08-27,translation services near me,https://tatkowski.com/,0,1,0,1
2025-08-28,document translation,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,73
2025-08-28,documents translation,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,73
2025-08-28,interpating,https://tatkowski.com/,0,1,0,7
2025-08-28,polish translations,https://tatkowski.com/en/polish-translator-dublin/,0,1,0,78
2025-08-28,tatkowski,http://tatkowski.com/,0,1,0,6
2025-08-28,tatkowski,https://tatkowski.com/pl/,0,1,0,3
2025-08-28,translation recruitment company,https://tatkowski.com/,0,1,0,1
2025-08-29,interpreting,https://tatkowski.com/,0,2,0,10
2025-08-29,translate documents,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,58
2025-08-30,interpreter services,https://tatkowski.com/,0,1,0,1
2025-08-30,interpreting,https://tatkowski.com/,0,1,0,8
2025-08-30,translation recruitment company,https://tatkowski.com/,0,3,0,1.6666666666666665
2025-08-31,translate documents dublin,https://tatkowski.com/en/translate-documents-dublin/,0,1,0,43
2025-09-24,tatkowski,https://tatkowski.com/interpreting,2,2,1,2
2025-09-12,translation service near me,https://tatkowski.com/,1,2,0.5,3
2025-09-16,tatkowski,https://tatkowski.com/,1,1,1,8
2025-09-23,tatkowski,https://tatkowski.com/en/,1,3,0.3333333333333333,2.666666666666667
