dim1,clicks,impressions,ctr,position
2026-03-01,0,0,0,0
2026-03-02,0,0,0,0
2026-03-03,0,19,0,1.8421052631578947
2026-03-04,0,3,0,34.666666666666664
2026-03-05,0,3,0,3.6666666666666665
2026-03-06,0,0,0,0
2026-03-07,0,0,0,0
2026-03-08,0,0,0,0
2026-03-09,0,1,0,46
2026-03-10,0,6,0,11.833333333333334
2026-03-11,0,2,0,26
2026-03-12,0,2,0,61
2026-03-13,0,3,0,14.666666666666666
2026-03-14,0,3,0,14.333333333333334
2026-03-15,0,1,0,42
2026-03-16,0,2,0,38
2026-03-17,0,2,0,29
2026-03-18,0,4,0,27
2026-03-19,0,13,0,40.23076923076923
2026-03-20,0,1,0,43
2026-03-21,0,5,0,45.4
2026-03-22,0,4,0,40.25
2026-03-23,0,2,0,46
2026-03-24,0,1,0,44
2026-03-25,0,5,0,34.4
2026-03-26,0,5,0,44.8
2026-03-27,0,3,0,53
2026-03-28,0,5,0,58.2
2026-03-29,0,2,0,57
2026-03-30,0,5,0,45
2026-03-31,0,2,0,45
2026-04-01,0,3,0,36.666666666666664
2026-04-02,0,4,0,43.5
2026-04-03,0,2,0,48.5
2026-04-04,0,2,0,48.5
2026-04-05,0,3,0,48.333333333333336
2026-04-06,0,2,0,49.5
2026-04-07,0,1,0,49
2026-04-08,0,4,0,46
2026-04-09,0,3,0,41
2026-04-10,0,3,0,48
2026-04-11,0,3,0,49
2026-04-12,0,2,0,50
2026-04-13,0,6,0,52.166666666666664
2026-04-14,0,2,0,65
2026-04-15,0,5,0,32.8
2026-04-16,0,2,0,53
2026-04-17,0,2,0,51.5
2026-04-18,0,3,0,65
2026-04-19,0,13,0,60
2026-04-20,0,16,0,49.0625
2026-04-21,0,3,0,55.666666666666664
2026-04-22,0,3,0,47.333333333333336
2026-04-23,0,2,0,29
2026-04-24,0,2,0,40
2026-04-25,0,4,0,32.75
2026-04-26,0,3,0,44.666666666666664
2026-04-27,0,5,0,6.8
2026-04-28,0,6,0,6.5
2026-04-29,0,5,0,6.4
2026-04-30,0,0,0,0
2026-05-01,0,3,0,3.6666666666666665
2026-05-02,0,2,0,29.5
2026-05-03,0,3,0,6
2026-05-04,0,4,0,6.75
2026-05-05,0,6,0,19.333333333333332
2026-05-06,0,10,0,18.6
2026-05-07,0,9,0,39.44444444444444
2026-05-08,0,4,0,30.5
2026-05-09,0,7,0,17.142857142857142
2026-05-10,0,5,0,27.8
2026-05-11,0,12,0,25.666666666666668
2026-05-12,0,23,0,60.34782608695652
2026-05-13,0,9,0,44.55555555555556
2026-05-14,0,12,0,13.083333333333334
2026-05-15,0,8,0,17.5
2026-05-16,0,5,0,25.8
2026-05-17,0,7,0,34.142857142857146
2026-05-18,0,12,0,28.333333333333332
2026-05-19,0,6,0,35.833333333333336
2026-05-20,0,11,0,41.54545454545455
2026-05-21,2,8,0.25,15.625
2026-05-22,0,4,0,32.75
2026-05-23,0,7,0,42.714285714285715
2026-05-24,0,3,0,34.666666666666664
2026-05-25,0,5,0,33
2026-05-26,0,4,0,43.25
2026-05-27,0,5,0,34.8
2026-05-28,0,5,0,25.2
2026-05-29,0,8,0,15
2026-05-30,0,8,0,27.5
2026-06-01,0,24,0,25.166666666666668
2026-06-02,0,4,0,46.25
2026-06-03,0,16,0,50
2026-06-04,0,20,0,60.95
2026-06-05,0,13,0,60.38461538461539
