dim1,dim2,dim3,clicks,impressions,ctr,position
2026-03-03,https://tatkowski.co.uk/,MOBILE,0,1,0,1
2026-03-04,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,86
2026-03-09,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,46
2026-03-11,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,44
2026-03-12,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,67
2026-03-13,https://tatkowski.co.uk/,MOBILE,0,1,0,1
2026-03-13,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,42
2026-03-14,https://tatkowski.co.uk/,MOBILE,0,2,0,1
2026-03-14,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,41
2026-03-15,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,42
2026-03-16,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,41
2026-03-16,https://tatkowski.co.uk/polish-translation/,MOBILE,0,1,0,35
2026-03-18,https://tatkowski.co.uk/,MOBILE,0,1,0,2
2026-03-18,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,43
2026-03-19,https://tatkowski.co.uk/,MOBILE,0,1,0,2
2026-03-19,https://tatkowski.co.uk/european-languages/,DESKTOP,0,5,0,36.6
2026-03-19,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,5,0,43.8
2026-03-20,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,43
2026-03-21,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,43.5
2026-03-22,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,42
2026-03-22,https://tatkowski.co.uk/polish-translation/,MOBILE,0,1,0,35
2026-03-23,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,46
2026-03-24,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,44
2026-03-25,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,55
2026-03-26,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,4,0,55.75
2026-03-27,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,58.5
2026-03-27,https://tatkowski.co.uk/polish-translation/,MOBILE,0,1,0,42
2026-03-28,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,5,0,58.2
2026-03-29,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,57
2026-03-30,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,58
2026-03-30,https://tatkowski.co.uk/polish-translation/,MOBILE,0,1,0,44
2026-03-31,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,45
2026-04-01,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,36.666666666666664
2026-04-02,https://tatkowski.co.uk/,MOBILE,0,1,0,2
2026-04-02,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,57.333333333333336
2026-04-03,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,48.5
2026-04-04,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,48.5
2026-04-05,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,49
2026-04-05,https://tatkowski.co.uk/polish-translation/,MOBILE,0,1,0,47
2026-04-06,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,49.5
2026-04-07,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,49
2026-04-08,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,65
2026-04-09,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,37.5
2026-04-10,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,48
2026-04-11,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,49
2026-04-12,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,50
2026-04-13,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,4,0,50
2026-04-13,https://tatkowski.co.uk/polish-translation/,MOBILE,0,2,0,56.5
2026-04-14,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,65
2026-04-15,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,50.333333333333336
2026-04-16,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,53
2026-04-17,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,51.5
2026-04-18,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,65
2026-04-19,https://tatkowski.co.uk/medical-interpreting/,DESKTOP,0,4,0,84
2026-04-19,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,50
2026-04-19,https://tatkowski.co.uk/polish-translation/,MOBILE,0,2,0,47
2026-04-19,https://tatkowski.co.uk/welsh-translation/,DESKTOP,0,3,0,79.33333333333333
2026-04-20,https://tatkowski.co.uk/irish-translation/,DESKTOP,0,1,0,73
2026-04-20,https://tatkowski.co.uk/medical-interpreting/,DESKTOP,0,4,0,87.5
2026-04-20,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,53.5
2026-04-20,https://tatkowski.co.uk/welsh-translation/,DESKTOP,0,3,0,73.66666666666667
2026-04-21,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,3,0,55.666666666666664
2026-04-22,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,2,0,49
2026-04-23,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,56
2026-04-24,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,76
2026-04-25,https://tatkowski.co.uk/polish-translation/,DESKTOP,0,1,0,54
2026-04-25,https://tatkowski.co.uk/ukvi-translation-guide/,DESKTOP,0,1,0,67
