dim1,dim2,dim3,clicks,impressions,ctr,position
2026-03-03,tatkowski,gbr,0,1,0,1
2026-03-04,polish translation services,gbr,0,1,0,86
2026-03-09,polish translation services uk,gbr,0,1,0,46
2026-03-11,polish translation services uk,gbr,0,1,0,44
2026-03-12,polish translation services uk,gbr,0,1,0,67
2026-03-13,polish translation services uk,gbr,0,1,0,42
2026-03-13,tatkowski,gbr,0,1,0,1
2026-03-14,polish translation services uk,gbr,0,1,0,41
2026-03-14,tatkowski,gbr,0,2,0,1
2026-03-15,polish translation services uk,gbr,0,1,0,42
2026-03-16,legal polish translator,gbr,0,1,0,35
2026-03-16,polish translation services uk,gbr,0,1,0,41
2026-03-18,polish translation services uk,gbr,0,1,0,43
2026-03-18,tatkowski,gbr,0,1,0,2
2026-03-19,european translate,gbr,0,1,0,37
2026-03-19,european translation,gbr,0,2,0,29
2026-03-19,european translations,gbr,0,1,0,36
2026-03-19,european translator,gbr,0,1,0,52
2026-03-19,polish translation services uk,gbr,0,5,0,43.8
2026-03-19,tatkowski,gbr,0,1,0,2
2026-03-20,polish translation services uk,gbr,0,1,0,43
2026-03-21,polish translation services uk,gbr,0,1,0,44
2026-03-21,professional polish translators,gbr,0,1,0,43
2026-03-22,legal polish translator,gbr,0,1,0,35
2026-03-22,polish translation services uk,gbr,0,1,0,42
2026-03-23,polish translation services uk,gbr,0,1,0,43
2026-03-23,professional polish translation,chl,0,1,0,49
2026-03-24,polish translation services uk,gbr,0,1,0,44
2026-03-25,polish translation services uk,gbr,0,3,0,55
2026-03-26,polish translation services uk,gbr,0,4,0,55.75
2026-03-27,legal polish translator,gbr,0,1,0,42
2026-03-27,polish translation services uk,gbr,0,2,0,58.5
2026-03-28,polish translation services uk,gbr,0,5,0,58.2
2026-03-29,polish translation services uk,gbr,0,2,0,57
2026-03-30,legal polish translator,gbr,0,1,0,44
2026-03-30,polish translation services uk,gbr,0,3,0,58
2026-03-31,polish translation services uk,gbr,0,2,0,45
2026-04-01,polish translation services uk,gbr,0,3,0,36.666666666666664
2026-04-02,polish translation services uk,gbr,0,3,0,57.333333333333336
2026-04-02,tatkowski,gbr,0,1,0,2
2026-04-03,polish translation services uk,gbr,0,2,0,48.5
2026-04-04,polish translation services uk,gbr,0,1,0,48
2026-04-04,professional polish translators,gbr,0,1,0,49
2026-04-05,legal polish translator,gbr,0,1,0,47
2026-04-05,polish translation services uk,gbr,0,2,0,49
2026-04-06,polish translation services uk,gbr,0,2,0,49.5
2026-04-07,polish translation services uk,gbr,0,1,0,49
2026-04-08,polish translation services uk,gbr,0,2,0,65
2026-04-09,polish translation services uk,gbr,0,2,0,37.5
2026-04-10,polish translation services london,gbr,0,1,0,44
2026-04-10,polish translation services uk,gbr,0,2,0,50
2026-04-11,polish translation services uk,gbr,0,3,0,49
2026-04-12,polish translation services uk,gbr,0,2,0,50
2026-04-13,legal polish translator,gbr,0,2,0,56.5
2026-04-13,polish translation services uk,gbr,0,4,0,50
2026-04-14,polish translation services uk,gbr,0,2,0,65
